Title,Genre
Breaking Bad,Crime
Breaking Bad,Drama
Breaking Bad,Thriller
Stranger Things,Sci-Fi
Stranger Things,Horror
Stranger Things,Drama
Stranger Things,Mystery
Game of Thrones,Fantasy
Game of Thrones,Drama
Game of Thrones,Action
Game of Thrones,Adventure
The Office,Comedy
The Office,Mockumentary
Avatar: The Last Airbender,Animation
Avatar: The Last Airbender,Action
Avatar: The Last Airbender,Adventure
Avatar: The Last Airbender,Fantasy
Euphoria,Drama
Euphoria,Teen
Euphoria,Romance
The Mandalorian,Sci-Fi
The Mandalorian,Action
The Mandalorian,Adventure
The Mandalorian,Fantasy
The Crown,Drama
The Crown,History
The Crown,Biography
BoJack Horseman,Animation
BoJack Horseman,Comedy
BoJack Horseman,Drama
BoJack Horseman,Dark Comedy
Grey's Anatomy,Drama
Grey's Anatomy,Medical
Grey's Anatomy,Romance

